1/21 11:52:24.621  SPELL_PERIODIC_HEAL,0xF140C79CA3000002,"GUGU",0x11148,0xF140C79CA3000002,"GUGU",0x11148,54131,"Bloodthirsty",0x1,881,730,0,nil
1/21 11:52:24.686  SPELL_CAST_FAILED,0x0300000005D70675,"Billionaire",0x511,0x0000000000000000,nil,0x80000000,20271,"Judgement",0x2,"Not yet recovered"
1/21 11:52:25.109  SPELL_HEAL,0x0300000005D70675,"Billionaire",0x511,0x0300000005D70675,"Billionaire",0x511,20167,"Seal of Insight",0x2,1097,0,0,nil
1/21 11:52:25.109  SWING_DAMAGE,0xF140C79CA3000002,"GUGU",0x11148,0x0300000005D70675,"Billionaire",0x511,724,-1,1,0,0,0,1,nil,nil
1/21 11:52:25.109  SPELL_CAST_START,0x0300000001B3C240,"Exrobinhood-Frostmourne",0x548,0x0000000000000000,nil,0x80000000,1513,"Scare Beast",0x8
1/21 11:52:25.477  SPELL_ENERGIZE,0x0300000005D70675,"Billionaire",0x511,0x0300000005D70675,"Billionaire",0x511,20167,"Seal of Insight",0x2,937,0
1/21 11:52:25.713  SPELL_CAST_SUCCESS,0x0300000005D70675,"Billionaire",0x511,0xF140C79CA3000002,"GUGU",0x11148,20271,"Judgement",0x2
1/21 11:52:25.713  SPELL_CAST_SUCCESS,0x030000000219D13A,"Bumblebeex-Frostmourne",0x548,0x0300000005D9C981,"Guccimaim",0x512,20271,"Judgement",0x2
1/21 11:52:25.713  SPELL_PERIODIC_HEAL,0xF140C79CA3000002,"GUGU",0x11148,0xF140C79CA3000002,"GUGU",0x11148,54131,"Bloodthirsty",0x1,881,881,0,nil
1/21 11:52:25.713  SPELL_AURA_APPLIED_DOSE,0xF140C79CA3000002,"GUGU",0x11148,0xF140C79CA3000002,"GUGU",0x11148,53403,"Rabid Power",0x1,BUFF,2
1/21 11:52:25.713  SPELL_ENERGIZE,0x030000000219D13A,"Bumblebeex-Frostmourne",0x548,0x030000000219D13A,"Bumblebeex-Frostmourne",0x548,20167,"Seal of Insight",0x2,3513,0
1/21 11:52:25.713  SPELL_AURA_APPLIED,0x0300000001B3C240,"Exrobinhood-Frostmourne",0x548,0x0300000005D70675,"Billionaire",0x511,94528,"Flare",0x40,DEBUFF
